4;4;655;5;5;1876;6;6;2688
4;4;300;5;5;887;6;6;2925
4;4;632;5;5;2075;6;6;24112
4;4;638;5;5;2603;6;6;11708
4;4;417;5;5;1801;6;6;3625
4;4;413;5;5;1411;6;6;2338
4;4;628;5;5;2463;6;6;4198
4;4;624;5;5;2321;6;6;2646
4;4;292;5;5;2981;6;6;986
4;4;300;5;5;1990;6;6;2305
4;4;1264;5;5;912;6;6;4674
4;4;154;5;5;975;6;6;70558
4;4;157;5;5;2900;6;6;3553
4;4;153;5;5;1198;6;6;2377
4;4;562;5;5;2710;6;6;3618
4;4;570;5;5;1436;6;6;443
4;4;886;5;5;1871;6;6;441
4;4;315;5;5;1271;6;6;929
4;4;319;5;5;1369;6;6;2733
4;4;313;5;5;1211;6;6;752
4;4;2494;5;5;751;6;6;724
4;4;1284;5;5;759;6;6;2679
4;4;2199;5;5;2690;6;6;1651
4;4;1131;5;5;1439;6;6;1400
4;4;563;5;5;3533;6;6;2306
4;4;435;5;5;2031;6;6;6701
4;4;437;5;5;326;6;6;2254
4;4;439;5;5;285;6;6;3296
4;4;698;5;5;3122;6;6;1273
4;4;677;5;5;1599;6;6;891
4;4;674;5;5;1691;6;6;1976
4;4;1650;5;5;1639;6;6;2694
4;4;603;5;5;2054;6;6;2611
4;4;603;5;5;1516;6;6;4028
4;4;725;5;5;923;6;6;1837
4;4;1200;5;5;1353;6;6;2620
4;4;1665;5;5;1603;6;6;2054
4;4;707;5;5;2085;6;6;2024
4;4;714;5;5;1578;6;6;1566
4;4;1026;5;5;805;6;6;2534
4;4;729;5;5;1687;6;6;1430
4;4;1457;5;5;2132;6;6;2184
4;4;492;5;5;1510;6;6;1863
4;4;497;5;5;1274;6;6;1598
4;4;766;5;5;556;6;6;1633
4;4;718;5;5;547;6;6;1134
4;4;917;5;5;3208;6;6;1695
4;4;1166;5;5;2926;6;6;2023
;;755.375;;;1705.8958333333;;;4339.3333333333
